0.05,0.05,180,8,12,12,15,16,16,18,19,22,22,24,23,18,17,19,21,21,22,22,23,24,20,19,19,20,21,20,20,23,24,25,25,25,25,27,26,26,22,19,20,15,16,21,20,19,19,21,20,21,20,23,25,25,25,27,27,25,23,25,26,26,27,27,25,30,33,32,31,28,24,22,23,24,26,26,27,27,28,30,29,31,31,34,29,32,28,27,27,27,24,24,28,25,25,26,26,26,27,28,29,31,30,28,27,27,27,25,25,20
0.1,0.05,180,6,10,12,14,16,17,17,19,19,18,19,18,19,20,20,22,21,22,23,22,20,21,22,21,22,21,19,19,18,19,21,20,20,18,19,19,17,18,17,16,17,18,19,20,20,19,18,18,18,20,19,18,18,18,20,19,20,20,21,20,19,18,20,20,20,22,20,20,20,20,21,22,24,24,24,24,23,25,23,24,23,21,20,21,21,22,22,23,23,21,22,22,23,22,24,24,24,24,22,22,23,23,24,23,22,23,25,27,21
0.15,0.05,180,6,10,11,12,13,15,15,16,18,19,20,20,21,21,21,19,21,21,21,21,22,23,22,20,20,21,21,22,22,23,22,24,24,22,23,24,24,25,27,28,28,29,29,30,30,31,33,34,34,36,36,31,29,28,27,26,25,24,25,23,23,21,22,22,24,21,19,19,19,19,18,18,18,19,19,21,21,19,19,20,21,20,21,21,23,21,21,21,22,21,23,22,22,22,22,21,21,20,22,20,20,20,22,21,22,23,24,25,17
0.2,0.05,180,6,9,10,11,13,15,16,16,17,18,19,20,21,22,23,23,23,23,22,21,20,22,23,23,24,23,23,22,22,22,22,20,20,21,21,21,22,21,22,22,22,23,22,23,22,22,20,20,20,21,22,22,20,20,20,20,19,18,17,17,19,20,19,19,19,17,17,19,20,17,18,19,17,18,19,19,18,19,20,17,19,20,19,16,16,16,16,17,17,19,19,19,18,19,18,19,19,18,20,18,19,19,19,20,21,20,21,19,14
0.25,0.05,180,0,7,9,11,12,12,14,15,15,16,17,18,19,20,21,20,21,22,22,21,21,22,23,24,24,23,24,24,25,24,24,25,25,25,28,28,29,30,31,31,31,32,30,28,24,25,24,25,25,24,22,21,20,19,18,18,19,18,19,19,18,19,19,18,17,18,18,18,17,18,17,17,18,19,18,19,18,18,18,17,18,16,17,18,17,16,18,18,18,18,17,17,18,17,18,18,18,18,18,19,20,18,19,18,19,19,21,23,18
0.3,0.05,180,2,10,11,12,14,14,15,14,16,17,17,18,18,17,18,19,19,18,20,20,20,22,20,20,20,20,20,22,21,22,22,22,23,21,22,20,20,19,18,19,21,20,20,19,21,20,20,21,20,19,18,18,18,19,20,20,18,19,18,20,21,21,22,22,20,20,21,21,22,19,18,17,19,19,19,21,20,19,19,18,19,16,18,18,19,20,19,18,19,19,18,19,17,18,18,18,18,18,21,19,18,20,20,21,22,25,27,23,18
0.35,0.05,180,6,10,11,12,13,14,15,16,17,18,18,19,20,21,22,21,23,23,21,20,21,21,21,22,24,23,21,23,21,22,23,23,23,24,19,19,20,19,19,19,19,20,20,19,20,19,18,21,19,20,21,21,21,20,19,19,20,19,23,19,20,19,19,19,20,20,20,18,20,22,23,22,22,23,23,20,19,20,20,22,21,20,19,19,20,18,19,17,18,18,16,17,18,17,18,18,18,18,18,19,19,20,21,21,20,21,21,21,13
0.4,0.05,180,8,11,12,14,14,16,17,18,19,20,21,21,22,22,21,22,22,22,23,23,24,21,22,21,21,22,23,22,23,20,21,21,21,21,21,22,23,22,23,22,22,22,20,18,19,18,19,18,20,21,19,20,20,22,21,21,20,20,20,21,21,22,23,22,19,19,19,19,18,18,18,19,19,19,19,20,18,19,18,20,20,19,18,18,17,16,17,17,17,17,17,17,16,16,17,16,17,17,18,18,18,19,20,19,20,20,20,18,11
0.45,0.05,180,3,9,12,13,14,16,16,18,17,19,21,22,20,21,21,22,21,21,22,23,21,21,19,20,20,20,21,20,21,19,19,19,18,19,18,18,19,24,22,19,19,18,19,19,19,20,21,20,18,19,19,20,21,21,19,19,18,18,18,17,17,17,17,17,18,17,18,17,18,17,18,17,18,17,17,17,17,20,20,19,19,19,17,22,22,20,18,17,19,18,17,17,17,18,18,18,19,21,20,19,19,20,20,21,20,22,21,22,17
0.5,0.05,180,6,10,12,12,14,15,16,17,17,18,19,17,19,19,21,21,22,21,20,19,19,19,19,21,21,21,23,22,20,21,20,21,22,20,19,19,18,19,18,18,18,19,22,21,21,21,21,19,18,19,19,19,20,18,18,18,19,19,20,20,18,17,19,21,21,22,22,21,22,19,20,21,21,22,22,21,20,19,21,22,21,21,19,18,18,17,17,17,18,16,16,17,18,17,18,18,17,18,18,18,18,18,18,19,20,20,20,19,13
0.55,0.05,180,8,10,12,14,15,15,16,16,18,19,19,20,20,20,21,20,20,20,20,20,22,21,20,20,20,20,20,21,21,19,19,19,19,19,19,20,20,20,20,19,20,22,20,20,18,18,19,20,19,17,19,19,18,18,19,20,19,19,18,18,20,20,20,20,20,19,18,19,21,20,22,21,22,21,21,20,21,21,20,19,19,19,19,19,19,18,18,18,18,18,18,18,17,19,18,18,19,19,19,19,19,19,19,18,22,21,21,22,17
0.6,0.05,180,2,8,11,13,15,16,15,15,16,17,18,17,18,19,20,21,22,22,23,22,23,22,22,22,23,24,24,23,21,21,21,21,22,22,22,22,21,21,22,23,23,22,20,21,21,22,23,22,21,21,21,22,22,21,19,18,19,20,21,21,20,19,20,18,19,19,18,18,17,17,19,20,21,18,20,20,19,20,19,19,19,18,17,18,18,19,18,17,18,17,18,18,18,18,17,17,17,17,17,18,18,18,17,19,20,20,21,19,18
0.65,0.05,180,5,11,12,13,13,15,16,16,16,17,18,19,19,20,23,23,23,23,23,23,22,24,23,23,24,23,22,22,23,21,22,23,22,21,21,22,22,22,21,20,20,20,23,22,23,21,22,21,21,21,21,22,19,20,20,21,21,22,23,20,22,20,20,20,21,19,18,19,20,21,20,20,20,18,21,20,20,20,20,19,18,19,20,20,19,18,18,17,17,17,17,16,18,17,17,17,17,18,18,18,18,17,17,17,18,18,18,18,16
0.7,0.05,180,7,10,13,14,15,16,17,18,18,19,19,21,22,21,22,22,21,21,23,23,23,23,22,22,21,20,21,23,23,22,22,22,21,21,21,21,20,20,21,20,21,22,21,21,20,19,19,20,20,21,21,22,21,20,20,22,20,19,19,20,20,19,21,19,19,18,19,20,21,21,19,20,19,20,20,17,18,17,17,18,19,18,19,17,18,16,16,16,16,16,15,15,16,15,16,17,16,16,16,17,17,17,17,17,17,17,17,17,13
0.75,0.05,180,10,13,14,15,17,17,17,18,19,19,18,20,20,20,20,22,23,24,23,23,23,23,22,22,23,23,21,21,22,22,22,22,23,22,23,22,22,21,23,22,22,22,22,22,21,22,22,22,21,21,21,21,19,20,20,20,22,22,22,23,23,22,20,21,22,21,21,21,22,22,22,21,22,21,21,19,19,19,19,19,20,19,19,18,18,20,19,18,18,18,17,17,17,18,18,18,18,18,17,18,18,18,18,19,20,22,21,19,13
0.8,0.05,180,0,7,11,12,13,14,15,16,18,18,19,19,20,20,22,22,24,23,22,20,21,21,22,23,24,22,24,22,23,22,23,21,20,21,20,21,22,24,22,22,22,22,23,22,22,22,22,21,22,23,22,21,22,21,20,20,22,22,21,20,21,21,22,22,22,22,21,20,19,20,21,21,21,22,23,22,24,23,23,21,21,21,21,23,25,22,26,18,19,20,19,21,19,22,19,18,19,19,19,19,20,20,20,20,20,20,20,21,16
0.85,0.05,180,8,10,11,13,14,15,17,17,18,17,18,19,21,21,24,24,24,24,23,21,22,22,23,23,24,24,24,24,24,23,23,24,23,24,24,23,22,23,21,21,22,24,23,22,23,22,23,22,23,23,23,22,22,23,22,21,20,20,18,20,21,21,20,19,19,20,21,22,22,23,22,22,21,21,21,19,20,20,19,19,20,20,20,20,19,20,20,20,21,22,19,20,20,19,19,20,19,19,19,22,22,22,21,22,22,22,22,22,15
0.9,0.05,180,10,12,14,14,15,16,16,18,18,20,22,24,27,26,25,20,21,21,22,23,22,22,23,22,21,22,23,23,21,22,21,22,23,23,22,23,21,22,23,22,23,22,20,20,20,21,21,20,20,20,20,19,19,20,19,20,18,20,21,23,23,22,20,20,19,19,19,18,18,19,18,19,20,21,21,20,21,21,22,21,19,20,18,19,18,19,19,19,19,19,17,17,17,17,18,18,19,17,17,18,18,18,18,18,21,21,20,20,13
0.95,0.05,180,10,12,13,16,17,19,20,23,25,24,19,21,22,22,23,21,22,22,22,24,23,25,23,22,23,23,23,22,23,23,21,20,20,20,20,22,20,20,21,21,20,21,22,19,19,19,21,20,21,21,20,21,21,21,21,22,21,21,20,20,19,20,21,20,19,18,20,19,18,18,18,18,17,19,19,19,20,19,19,18,18,18,17,17,18,17,17,16,16,18,18,17,17,18,18,19,19,19,19,20,20,19,20,20,20,21,24,21,15
1,0.05,180,5,9,12,13,13,16,17,18,18,19,20,20,20,20,20,20,20,20,21,23,22,23,22,20,20,22,22,22,21,21,21,21,22,22,21,20,20,21,20,22,22,22,21,20,22,21,20,20,19,20,20,20,20,20,21,21,20,20,20,21,22,20,20,20,21,21,22,22,21,20,19,20,19,17,16,17,17,18,18,19,20,20,19,18,18,18,18,18,18,17,18,17,16,17,17,18,18,18,18,18,19,20,21,20,21,21,22,21,17
1.05,0.05,180,5,10,13,14,16,16,16,18,19,19,20,21,22,21,21,22,21,21,22,22,24,22,22,24,22,22,22,23,24,22,23,22,24,23,22,22,23,22,22,21,21,21,22,22,21,22,22,20,20,20,20,21,21,21,21,21,20,21,22,22,22,21,21,20,20,21,18,19,18,18,19,19,21,21,20,21,22,20,21,19,19,18,18,17,17,15,16,17,19,18,19,18,18,19,20,19,19,20,19,20,20,20,19,21,21,22,22,21,15
1.1,0.05,180,8,10,13,14,16,17,17,18,18,19,19,20,21,21,22,23,22,21,22,23,21,22,23,22,22,21,22,23,20,20,19,18,19,20,20,19,20,21,21,21,22,21,21,20,21,20,20,21,20,21,21,22,21,20,18,19,17,19,18,18,19,20,20,21,22,21,21,20,21,22,21,19,20,18,19,21,21,20,19,19,19,19,19,18,18,18,17,17,18,19,18,17,18,19,19,20,20,20,21,22,22,22,22,24,25,26,25,22,17
1.15,0.05,180,6,10,12,12,15,16,15,16,18,17,19,19,19,20,19,21,21,23,23,21,20,21,21,21,21,22,21,21,21,21,20,22,20,21,19,20,20,20,20,21,22,21,21,22,21,21,21,21,21,20,20,21,19,20,19,21,19,20,20,20,20,20,18,20,19,20,21,20,21,21,21,21,22,21,22,21,20,19,19,19,19,18,17,18,18,17,18,16,18,16,18,16,16,16,17,17,18,18,18,19,19,19,19,19,18,21,20,20,18
1.2,0.05,180,8,12,14,15,15,16,16,18,18,18,17,19,20,20,21,22,22,24,25,23,22,21,21,24,23,23,24,24,23,24,23,24,25,24,24,24,24,24,22,22,22,22,22,23,23,24,24,24,23,22,23,22,21,21,23,20,21,21,20,22,20,21,23,21,23,23,23,23,23,22,21,23,21,21,20,19,20,19,20,21,19,21,20,20,20,19,19,19,17,17,17,17,17,17,18,17,17,17,17,19,18,18,18,18,20,20,23,22,15
1.25,0.05,180,8,11,12,14,15,15,16,17,18,17,18,19,20,20,21,22,22,23,22,24,22,22,23,23,23,23,21,21,21,23,22,22,24,23,22,22,21,21,22,21,22,22,22,22,23,22,21,20,21,20,21,21,23,22,22,22,22,22,22,21,22,21,22,22,21,20,20,20,21,22,21,20,20,20,21,20,21,21,21,19,18,20,19,17,19,19,19,19,19,18,18,17,18,18,19,18,18,17,17,18,17,17,18,19,19,20,19,20,15
