cube,condition,line,frame_count,area_mean_th1,area_std_th1,area_min_th1,area_max_th1,spatter_mean_th1,spatter_std_th1,spatter_min_th1,spatter_max_th1,area_mean_th2,area_std_th2,area_min_th2,area_max_th2,spatter_mean_th2,spatter_std_th2,spatter_min_th2,spatter_max_th2,area_mean_th3,area_std_th3,area_min_th3,area_max_th3,spatter_mean_th3,spatter_std_th3,spatter_min_th3,spatter_max_th3,area_mean_th5,area_std_th5,area_min_th5,area_max_th5,spatter_mean_th5,spatter_std_th5,spatter_min_th5,spatter_max_th5,area_mean_th10,area_std_th10,area_min_th10,area_max_th10,spatter_mean_th10,spatter_std_th10,spatter_min_th10,spatter_max_th10,area_mean_th25,area_std_th25,area_min_th25,area_max_th25,spatter_mean_th25,spatter_std_th25,spatter_min_th25,spatter_max_th25,area_mean_th50,area_std_th50,area_min_th50,area_max_th50,spatter_mean_th50,spatter_std_th50,spatter_min_th50,spatter_max_th50,area_mean_th75,area_std_th75,area_min_th75,area_max_th75,spatter_mean_th75,spatter_std_th75,spatter_min_th75,spatter_max_th75,area_mean_th100,area_std_th100,area_min_th100,area_max_th100,spatter_mean_th100,spatter_std_th100,spatter_min_th100,spatter_max_th100,area_mean_th150,area_std_th150,area_min_th150,area_max_th150,spatter_mean_th150,spatter_std_th150,spatter_min_th150,spatter_max_th150
2,1,3,400,16321.99,5981.658759483025,456.0,37167.0,463.19360245977526,73.73336844740938,348.9311105663153,943.1412063134162,11111.2125,5464.841809452836,310.0,32953.0,524.8197989098771,95.59642736054508,350.42461387594994,1046.3929126515388,7029.75,4405.3516218912655,256.0,27235.0,595.5322041419827,113.73861497684861,351.15224319686195,1111.979794839913,2609.1875,1486.9654442332378,213.0,10571.0,687.3935062161119,148.0384634863447,351.9740132385389,1600.629090909091,1057.8325,257.882782371662,159.0,2101.0,734.4384976133432,156.22875766367633,353.7043392988477,1564.4668181818183,525.2775,99.23935959965684,112.0,985.0,771.6703786785959,164.90484185714118,356.99166462368225,1641.3404545454548,307.335,55.85273292328676,79.0,484.0,803.6833362714134,169.51854159384763,361.9036528560922,1745.7095454545456,216.4075,41.79086555397004,65.0,353.0,826.1240465836594,171.78416484378047,365.08310860505026,1773.0240909090912,162.0,33.21799211270904,45.0,267.0,844.8676942799597,173.4810815589735,372.05957342485897,1795.5240909090915,96.6875,25.455350002504385,27.0,169.0,876.5437007871951,176.10735642054703,381.08997303260605,1834.8977272727277
2,1,4,400,19614.9725,10035.46588364206,1009.0,43324.0,455.01081299604067,43.351761809610835,353.23369963369964,657.7128630705394,12508.9575,8114.693846085245,574.0,33727.0,539.2775323240508,73.93624242081434,357.56752136752135,971.3094585332417,7791.6525,5751.890114279284,429.0,27440.0,619.3346409937132,112.5784401640572,359.52478632478636,1102.5662620131516,3204.4,2614.634191430993,324.0,16803.0,723.8219187747286,191.49483845571152,361.5191697191697,1407.9843711843712,1149.6775,338.0108999629302,227.0,2916.0,789.246221518077,220.9082332132075,364.6310134310134,1513.1489720256154,560.52,108.90077869326738,162.0,1013.0,832.3729869950287,232.21831198199467,368.8964590964591,1634.0138186720592,314.32,55.06598405549473,121.0,487.0,869.9353504203449,236.6601229711945,374.54774114774114,1717.8142905291543,216.5425,43.02195013885354,91.0,356.0,894.0584719429057,237.13408415893664,381.73333333333335,1743.1931243680488,160.9675,34.37559372214537,76.0,255.0,913.2708314558654,237.63717278445543,387.00024420024425,1763.1826761038087,97.8325,27.601348585712255,36.0,182.0,943.9304335127288,238.57295356165793,401.74871794871797,1795.9518031681837
2,2,1,216,5987.652777777777,2355.0412386873845,580.0,14096.0,355.20687032830654,83.86521900977695,199.65342960288808,680.323802163833,3769.7916666666665,1580.9257977190196,456.0,10839.0,384.51562962986134,94.78573888152512,204.91413099535845,720.2379835873389,2493.574074074074,1037.2190043725336,401.0,6489.0,403.2089374397583,102.50457218951543,210.0858690046416,883.6283750613649,1437.4907407407406,422.5100260780664,328.0,2925.0,424.30830957011574,103.1664839623923,215.68334192882932,801.9789964994167,857.9861111111111,202.41668334400612,243.0,1387.0,444.4785811330982,106.72806890999048,220.64337287261478,808.3646441073514,451.77777777777777,105.97766477941833,149.0,840.0,472.4262793972429,109.3231824121308,230.18617844249613,826.8273045507586,258.86574074074076,60.26465959974822,109.0,456.0,499.95860532687743,113.18232327932259,241.50489943269721,864.4813302217038,179.37962962962962,41.57338838830734,81.0,322.0,519.4054483067588,116.38953778261852,251.96467251160388,902.9043173862311,128.7685185185185,30.18679699173179,60.0,231.0,536.8786280082132,119.73884230581788,261.6160391954615,922.3897316219371,68.18981481481481,17.249156929558072,32.0,140.0,566.2836882597569,124.26947258608931,280.71918514698297,976.6767794632441
2,2,2,216,7123.009259259259,3632.3408379276893,817.0,22489.0,446.9642775629579,200.84207896800328,216.91684723726976,1909.3452380952376,4467.814814814815,2629.9332608351847,658.0,18591.0,478.89387716448226,214.7544812717443,227.81980147620257,1970.371428571429,2870.462962962963,1898.9268310652124,534.0,15053.0,506.8837480200587,226.6481869453085,232.6672017121455,2025.9238095238097,1569.736111111111,1144.7195555760416,418.0,11618.0,530.3407841471237,237.1767988437762,235.00321027287316,2121.014285714286,875.6712962962963,610.1547225682956,307.0,6497.0,549.6470430795179,250.16150478799383,239.80577849117174,2335.578571428571,437.712962962963,184.8830987471055,210.0,2175.0,579.1258410589231,273.3505269628597,251.42616372391652,2642.1595238095233,250.1898148148148,80.88215071120086,141.0,874.0,605.9990715985195,285.06837448535407,267.7109721136304,2810.090476190476,171.40740740740742,50.69928355053672,100.0,601.0,625.4788319071025,292.96578373452405,277.4558248631743,2876.973809523809,125.08333333333333,35.70574831820449,74.0,429.0,641.6737789130244,298.06471859766106,286.55225436538956,2936.1785714285716,66.88425925925925,17.263227145824743,38.0,158.0,670.0002365021936,304.71861185017707,303.2981495960385,3118.5666666666666
2,2,3,216,8028.75462962963,3259.4869043467866,711.0,18237.0,420.0067620231484,102.2962921682264,208.2617826617827,832.9373848987108,5260.550925925926,2286.1139267970525,560.0,11937.0,452.58504620864585,111.97718661236833,229.92112332112336,879.7523020257828,3584.4074074074074,1655.2886569184568,464.0,8296.0,480.5349639676544,119.64051959801955,237.55433455433456,894.1878453038673,2028.9722222222222,855.1719175041088,338.0,5306.0,513.5799378397674,132.72048481744616,241.0920634920635,913.4650092081032,1044.888888888889,311.6180839536011,252.0,2349.0,547.475008999152,147.64467634392162,247.85592185592188,1001.1519337016573,492.24074074074076,131.77649219700606,162.0,1109.0,586.0131634411972,157.16020877360546,264.6593406593406,1087.2590315142202,271.31018518518516,63.66042063575501,113.0,623.0,618.271734922486,163.77651289243815,283.64420024420014,1170.3241252302025,184.75,41.41247463694431,81.0,406.0,639.4942293972983,166.69179512505886,302.7982905982905,1211.0499615680246,134.13888888888889,30.224149754708765,59.0,316.0,656.9402980370556,169.30956984539986,318.42442002442,1268.6887009992313,70.45370370370371,14.648273984569764,35.0,120.0,687.951675650523,173.24832716364347,342.9410970008106,1326.130668716372
2,2,4,217,7899.884792626728,2982.915522500936,512.0,16269.0,423.8943661619701,103.29978110529818,226.19133299543842,882.0194231901121,5122.944700460829,2251.2176851798195,424.0,12655.0,457.32086537079556,109.48702457808024,245.8033753013662,773.6255681818183,3246.5391705069123,1628.0860917649259,364.0,10270.0,488.12718275595654,115.60863036889941,252.01660862577017,878.46101903008,1666.4700460829492,688.1458828004461,316.0,5544.0,517.3069053944871,118.76418245947202,260.1816233592285,955.0577041129529,931.8709677419355,280.0423304662717,250.0,1888.0,538.2635494016956,120.60986729388978,265.3710152692205,996.6211656441718,467.6359447004608,122.3025303842617,164.0,958.0,570.0546166057702,128.22457849855692,272.9975890704527,1064.9578220858896,273.10138248847926,67.68372400942917,112.0,647.0,598.0770586457536,132.89534438578235,283.77739083846774,1101.0552147239264,188.36405529953916,44.18562852202448,83.0,365.0,618.8528414073082,136.1698395241487,293.4851326011251,1125.6088957055215,137.87557603686636,32.666139725655,64.0,277.0,636.209706699974,138.33711861860615,304.6011251004554,1144.9808282208587,73.17972350230414,17.402525213155613,37.0,147.0,667.6616711058766,142.35928922138075,326.0650950977766,1183.0981595092023
2,2,5,216,7928.777777777777,3355.983417810238,700.0,33131.0,497.05560645177025,188.4395644954964,231.648152999738,1640.2030981067126,5145.236111111111,2295.1898160007954,530.0,14828.0,531.9869653730948,206.50209576657676,240.9266439612261,1794.350980392157,3365.0231481481483,1735.1447170996942,459.0,11243.0,562.9455401592521,221.12044926908044,258.71417343463446,2105.6823529411763,1858.875,876.30387409013,375.0,5977.0,593.3012724820186,235.16516176289198,266.49436730416556,2154.886274509804,985.5324074074074,326.488782159029,288.0,2560.0,619.679506785029,242.18693687414023,274.73670421797226,2198.8,483.24074074074076,130.46355176903643,204.0,999.0,654.3381535111769,252.38842916006163,292.25334031962274,2280.7411764705885,274.8796296296296,65.45407176772073,141.0,532.0,684.2475597740957,258.73834092617295,311.7050039297878,2344.588235294118,189.24537037037038,42.02975111235528,106.0,312.0,705.3809809785897,262.81586256435384,328.9976421273251,2381.03137254902,137.53240740740742,30.05825926030889,81.0,240.0,723.2335246256515,264.4219130119201,343.13439874246785,2405.701960784314,73.18518518518519,15.82757096788652,46.0,136.0,754.5199685607253,267.15447075993205,370.5792507204611,2443.956862745098
2,3,1,377,13339.594164456234,6054.731248409786,939.0,36417.0,610.73128814141,132.30635767852328,336.13919413919416,1145.353383458647,9150.17771883289,5022.738905647457,702.0,30184.0,662.2549608625276,146.62315038792156,353.6346764346763,1217.2811621368326,6634.976127320955,4159.539927115214,600.0,27638.0,700.755689404234,157.30179637833808,368.4810744810745,1558.2281746031742,3706.57824933687,2753.0052823643196,476.0,23222.0,763.2747499194245,177.36245068271077,390.34749694749695,1702.0496031746031,1586.8726790450928,878.4663750641153,342.0,12004.0,832.3064887147517,208.32417794506927,398.5255189255189,1702.8210526315793,700.5729442970822,196.383524540527,225.0,2215.0,891.1729520130745,236.17318426315254,410.2739926739926,2288.5616666666665,391.8912466843501,102.72673106920423,157.0,844.0,935.7121932082435,248.1745400232115,429.82588522588514,2485.4,263.84084880636607,69.32222939197565,120.0,600.0,967.2857288170592,255.63190204760642,444.77973137973134,2545.702500000001,189.19893899204243,48.646946564145686,89.0,490.0,992.9959133373585,260.9796187598017,461.87423687423683,2610.693333333334,98.27320954907162,24.437917846879618,50.0,315.0,1037.1233663173616,268.44925525941557,492.0246642246642,2742.3050000000007
2,3,2,377,11164.944297082227,4625.377101503692,827.0,25274.0,639.7599469035523,142.5816991310753,346.57642998027615,1267.2588339222611,7166.960212201591,3441.177119713429,677.0,17520.0,686.1843169515843,159.50471347031493,370.25986193293875,1405.3489583333333,4810.877984084881,2647.967023797204,618.0,13271.0,722.1241030395662,168.9547350472295,387.693540433925,1646.8520526723462,2553.9973474801063,1542.6320259971985,509.0,10941.0,769.6750532959455,182.73532268591367,402.33653846153845,1732.711111111111,1251.0689655172414,371.5926801111567,369.0,3374.0,808.3207866931081,187.4382109629592,411.968688362919,1613.5830388692582,646.3766578249337,140.52448661508066,248.0,1253.0,849.2016952838803,197.83297867233128,433.2995562130177,1722.0379858657245,370.7453580901857,76.57346041021901,162.0,755.0,889.1777896590488,206.20123969613815,457.5458579881656,1776.0000000000002,252.0424403183024,50.00942407088498,129.0,521.0,918.2805555345832,211.11542531933412,476.51577909270213,1811.0574204947,181.6498673740053,36.605930093627535,96.0,398.0,942.4960373321743,214.20974990589264,493.0453648915187,1840.978798586573,95.82493368700266,19.524346878111512,52.0,187.0,984.2231016584807,218.8841787792977,529.2652859960551,1893.1015901060075
2,3,3,378,11996.39947089947,4979.487081456407,639.0,30700.0,666.4164301079434,152.5602018986852,324.8086866597726,1466.3108695652174,7346.867724867725,3687.5304433811903,504.0,23281.0,728.5696993125963,178.0996769190433,342.6695966907964,1563.7260869565214,4720.121693121693,2867.281318565369,447.0,19897.0,767.5033794322882,183.93733803477156,362.22466390899694,1667.428457234213,2474.925925925926,1549.8097493122489,394.0,12370.0,806.7535598357347,186.02695160023603,383.80222337125144,1712.145652173913,1178.2513227513227,402.2622309456113,317.0,3618.0,849.7988814358503,206.4999205210939,395.67916235780774,1912.7304347826089,588.2513227513227,140.02449827547304,217.0,1144.0,889.9940819372291,219.01311474761116,411.0793691830404,2047.0543478260872,342.3862433862434,71.83350105798577,150.0,639.0,925.3803768666481,227.72331362142015,428.3301447776629,2123.0891304347833,236.54761904761904,45.77792156484034,122.0,446.0,951.3887755235526,233.0469999122894,443.97001034126174,2170.1260869565217,172.4100529100529,30.04676433639981,93.0,302.0,973.4793442354785,236.4816096029383,459.96897621509834,2199.967391304348,91.27513227513228,14.268901531247218,53.0,157.0,1012.9177672249376,240.5677915215587,491.6215098241986,2253.863043478261
